REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Canada,2016A11124,"Career, technical or professional training certificate",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138161,1.2.22.1.2.3.4.1,0,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138161,1.2.22.1.2.3.4.1,0,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138162,1.2.22.1.2.3.4.2,,x,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138162,1.2.22.1.2.3.4.2,,x,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138162,1.2.22.1.2.3.4.2,,x,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138476,1.2.25.1.2.3.4.1,590,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138476,1.2.25.1.2.3.4.1,810,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138476,1.2.25.1.2.3.4.1,970,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138477,1.2.25.1.2.3.4.2,37000,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138477,1.2.25.1.2.3.4.2,40400,,,,0
